pds, SNR, PSNR, Ms = 600
0.40, 15.00, 22.62
0.50, 15.00, 22.57
0.60, 15.00, 22.17
0.70, 15.00, 23.11
0.80, 15.00, 22.16
0.90, 15.00, 22.84
1.00, 15.00, 22.36
1.10, 15.00, 22.50
1.20, 15.00, 23.18
1.30, 15.00, 23.28
1.40, 15.00, 22.75
1.50, 15.00, 22.53
1.60, 15.00, 22.75
1.70, 15.00, 23.26
1.80, 15.00, 23.27
1.90, 15.00, 22.72
2.00, 15.00, 22.98
2.10, 15.00, 22.96
2.20, 15.00, 23.17
2.30, 15.00, 23.03
2.40, 15.00, 22.70
2.50, 15.00, 23.15
2.60, 15.00, 23.54
2.70, 15.00, 23.25
2.80, 15.00, 23.43
2.90, 15.00, 23.68
3.00, 15.00, 23.35
3.10, 15.00, 23.96
3.20, 15.00, 23.06
3.30, 15.00, 24.26
3.40, 15.00, 23.56
3.50, 15.00, 23.95
3.60, 15.00, 24.06
3.70, 15.00, 24.65
3.80, 15.00, 23.54
3.90, 15.00, 24.00
4.00, 15.00, 23.92
