pds, SNR, PSNR, Ms = 500
0.40, 15.00, 22.88
0.50, 15.00, 22.05
0.60, 15.00, 22.80
0.70, 15.00, 22.67
0.80, 15.00, 23.49
0.90, 15.00, 22.59
1.00, 15.00, 22.94
1.10, 15.00, 22.98
1.20, 15.00, 22.81
1.30, 15.00, 22.98
1.40, 15.00, 22.55
1.50, 15.00, 23.54
1.60, 15.00, 22.37
1.70, 15.00, 22.25
1.80, 15.00, 22.35
1.90, 15.00, 23.35
2.00, 15.00, 23.76
2.10, 15.00, 22.59
2.20, 15.00, 22.81
2.30, 15.00, 22.53
2.40, 15.00, 23.41
2.50, 15.00, 23.30
2.60, 15.00, 23.18
2.70, 15.00, 24.11
2.80, 15.00, 23.48
2.90, 15.00, 22.98
3.00, 15.00, 23.13
3.10, 15.00, 23.62
3.20, 15.00, 22.78
3.30, 15.00, 24.39
3.40, 15.00, 24.15
3.50, 15.00, 23.21
3.60, 15.00, 23.78
3.70, 15.00, 23.69
3.80, 15.00, 24.16
3.90, 15.00, 23.81
4.00, 15.00, 24.13
